REG_ANS;ano;trimestre;VL_SALDO_FINAL
329665;2023;4;240851410.29
329665;2025;2;125848536.77
329665;2025;3;216535782.61
329886;2023;4;707775942.43
329886;2025;1;213587753.37
329886;2025;2;410330145.7
329886;2025;3;619368036.17
329967;2023;4;839126.13
330108;2023;4;696353314.48
330108;2025;1;274595614.9
330108;2025;2;505344652.95
330108;2025;3;741946181.57
330116;2023;4;277387840.35
330116;2025;1;101842410.18
330116;2025;2;185109029.86
330116;2025;3;268484812.58
330264;2023;4;769785981.3
330264;2025;1;257612634.19
330264;2025;2;495259216.7
330264;2025;3;747456567.21
330281;2023;4;326190233.77
330281;2025;1;100838055.61
330281;2025;2;189375224.84
330281;2025;3;280437253.65
330566;2023;4;843312993.83
330566;2025;1;229055464.98
330566;2025;2;459703568.48
330566;2025;3;705313181.77
330809;2023;4;727879588.11
330809;2025;1;269111618.41
330809;2025;2;392843559.69
330809;2025;3;579992276.39
330892;2023;4;146888470.27
330892;2025;1;54352371.82
330892;2025;2;103763010.03
330892;2025;3;150958066.68
331104;2023;4;20969740.47
331104;2025;1;10158863.79
331104;2025;2;13271872.57
331104;2025;3;19494614.5
331317;2023;4;2687022142.05
331317;2025;1;715667758.02
331317;2025;2;1378138609.59
331317;2025;3;2040790055.45
331341;2023;4;1578123172.56
331341;2025;1;472414371.29
331341;2025;2;898947856.26
331341;2025;3;1345188435.23
331651;2023;4;640438728.68
331651;2025;1;209585336.96
331651;2025;2;390881447.4
331651;2025;3;573119564.92
331872;2023;4;4240136033.42
331872;2025;1;1462126449.89
331872;2025;2;2691497347.17
331872;2025;3;3989607131.64
331988;2023;4;3793712544.39
331988;2025;1;1285654876.31
331988;2025;2;2167263916.18
331988;2025;3;3088715159.84
333051;2023;4;1801494446.89
333051;2025;1;558909602.99
333051;2025;2;1086139022.4
333051;2025;3;1609559138.8
333239;2023;4;13172703.74
333239;2025;1;2811423.07
333239;2025;2;5182904.38
333239;2025;3;7650150.02
333620;2023;4;16559385.35
333662;2023;4;1414364929.35
333662;2025;1;444465093.24
333662;2025;2;835322857.04
333662;2025;3;1257640537.0
333689;2023;4;2497015336.03
333689;2025;1;881249626.01
333689;2025;2;1471998633.36
333689;2025;3;1907702007.07
333808;2023;4;330888719.38
333808;2025;1;114098589.97
333808;2025;2;213554288.27
333808;2025;3;331111793.38
333867;2023;4;100051163.71
333867;2025;1;40177429.6
333867;2025;2;67229806.11
333867;2025;3;92877231.07
333875;2023;4;438390242.59
333875;2025;1;104672123.76
333875;2025;2;197213056.97
333875;2025;3;299342441.9
334154;2023;4;601156176.02
334154;2025;1;210668856.2
334154;2025;2;387375881.16
334154;2025;3;575694836.21
334243;2023;4;61309923.83
334243;2025;1;14584854.94
334243;2025;2;29770708.12
334243;2025;3;45626692.84
334511;2023;4;28948043.92
334511;2025;1;12491955.18
334511;2025;2;14992513.49
334511;2025;3;14456470.95
334561;2023;4;5055342367.34
334561;2025;1;1582535214.52
334561;2025;2;2989986397.31
334561;2025;3;4522291476.38
334847;2023;4;146265833.54
334847;2025;1;53647114.17
334847;2025;2;89934141.54
334847;2025;3;137538578.56
335100;2023;4;7892337410.15
335100;2025;1;2992168140.78
335100;2025;2;5530522707.1
335100;2025;3;8282443851.03
335215;2023;4;971535270.34
335215;2025;1;329116200.1
335215;2025;2;629344637.47
335215;2025;3;927259341.65
335258;2023;4;183014513.3
335258;2025;1;53932677.51
335258;2025;2;96697144.49
335258;2025;3;144964313.98
335479;2023;4;2900770413.21
335479;2025;1;912604677.92
335479;2025;2;1692496108.58
335479;2025;3;2395759577.67
335517;2023;4;878419185.83
335517;2025;1;217622257.68
335517;2025;2;386991396.1
335517;2025;3;574811975.81
335525;2023;4;26659901.18
335541;2023;4;428527141.73
335541;2025;1;192911661.72
335541;2025;2;302435241.46
335541;2025;3;396137913.92
335592;2023;4;8420655039.52
335592;2025;1;2670136465.32
335592;2025;2;4837600090.98
335592;2025;3;7113232289.8
335614;2023;4;6646794000.02
335614;2025;1;3683561424.4
335614;2025;2;7008883879.13
335614;2025;3;11005886520.77
335657;2023;4;222154497.99
335657;2025;1;57289735.37
335657;2025;2;111946443.69
335657;2025;3;166852521.8
335690;2023;4;20991062702.56
335690;2025;1;6713397663.93
335690;2025;2;12819246488.39
335690;2025;3;19097244853.02
335754;2023;4;678667592.87
335754;2025;1;221832306.43
335754;2025;2;415539097.25
335754;2025;3;628922158.37
335789;2023;4;225011545.31
335789;2025;1;72096824.23
335789;2025;2;117946816.13
335789;2025;3;168353634.22
336017;2023;4;28430148.26
336017;2025;1;15899384.46
336017;2025;2;18626281.37
336017;2025;3;28892880.27
336025;2023;4;2555774.91
336106;2023;4;2491967544.57
336106;2025;1;845768048.79
336106;2025;2;1559651093.75
336106;2025;3;2285650532.76
336238;2023;4;2136852.14
336467;2023;4;125419446.46
336467;2025;1;44516213.61
336467;2025;2;77038361.05
336467;2025;3;117603396.27
336831;2023;4;897237517.7
336831;2025;1;271904342.67
336831;2025;2;535793987.37
336831;2025;3;818899207.77
336858;2023;4;686253820.38
336858;2025;1;2168608280.87
336858;2025;2;7012313684.68
336858;2025;3;7219826357.86
336874;2023;4;10269953.12
337188;2023;4;1875746864.84
337188;2025;1;678980440.32
337188;2025;2;1306758067.76
